code_aliment;nom_fr;nom_scientifique;groupe;sous_groupe;sous_sous_groupe;energie_kcal_100g;eau_g;proteines_g;glucides_g;sucres_g;fibres_g;lipides_g;ag_satures_g;ag_monoinsatures_g;ag_polyinsatures_g;omega3_ala_g;sel_g;calcium_mg;fer_mg;magnesium_mg;zinc_mg;phosphore_mg;potassium_mg;vitamine_C_mg;beta_carotene_ug;vitamine_D_ug;vitamine_B12_ug;folates_B9_ug;vitamine_B1_mg;vitamine_B2_mg;vitamine_B6_mg;vitamine_E_mg
24999;Dessert (aliment moyen);;;;;255;49,9;4,41;32,9;21,3;1,7;11,3;4,96;4,04;1,33;0,23;0,33;67,6;1,3;19,1;0,46;91,9;178;2,42;57;0,16;0,18;-;0,045;0,16;0,044;-
25600;Salade de céleri rémoulade, préemballée;;entrées et plats composés;salades composées et crudités;-;114;81,5;0,94;3,14;1,8;2,2;10,2;0,94;6,24;2,54;0,73;1,17;34;0,23;8,8;0,21;40;260;3,06;7,86;< 0,5;< 0,08;6,39;0,018;0,029;0,089;-
25605;Champignons à la grecque, préemballés;;entrées et plats composés;salades composées et crudités;-;76,3;85,2;2,07;3,53;2,33;2,35;5,47;0,4;1,5;1,63;0,026;1,17;19,5;1,06;13,5;0,4;64,1;277;6,67;747;0;0,018;19,6;0,056;0,21;0,088;1,08
25606;Salade de pommes de terre, faite maison;;entrées et plats composés;salades composées et crudités;-;127;76;2,68;9,9;-;1,3;8,2;1,43;2,48;3,74;-;1,32;19;0,65;15;0,31;52;254;10;36;0;0;7;0,077;0,06;0,14;-
25614;Salade de riz, appertisée;;entrées et plats composés;salades composées et crudités;-;127;72,5;5,13;16,1;1;1,7;4,35;0,53;2,23;-;0,2;1,1;23,3;0,43;13,1;0,3;66,6;143;4,48;34;< 0,5;0,43;33,5;0,058;0,045;0,13;1,63
25615;Salade de pâtes au fromage et légumes, avec sauce;;entrées et plats composés;salades composées et crudités;-;119;75,4;4,4;13,7;2,1;1,7;4,8;1,4;0,92;2,48;-;0,74;14;0,6;11;0,4;37;84;21;1180;0;0;16;0,04;0,02;0,09;1,95
25626;Macédoine de légumes en salade, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;129;77,7;2,5;3,47;1,56;4;10,7;0,78;5,78;2,78;0,87;0,99;44;0,72;16,2;0,55;50,4;127;5,93;4760;< 0,6;< 0,1;-;0,08;0,02;0,05;-
25629;Salade végétarienne à base de boulgour et/ou quinoa et légumes, préemballée;;entrées et plats composés;salades composées et crudités;-;168;65,5;3,79;17,4;4,61;3,3;8,3;0,92;3,95;3,04;0,25;0,77;37;1,2;46;0,77;110;140;< 0,5;611;< 0,25;-;22,1;0,071;< 0,01;0,059;-
25642;Salade de céleri et carotte rémoulade, préemballée;;entrées et plats composés;salades composées et crudités;-;79,6;-;1;5,43;3,63;3;5,33;0,36;-;-;-;0,83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
26257;Salade de carottes râpées, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;74,2;84,7;0,84;5,67;4,73;2,61;4,77;0,43;2,53;1,81;0,24;0,71;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-
26258;Salade de betterave, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;59,4;86,2;1,44;5,11;4,96;2,7;3;0,32;1,54;0,95;0,18;0,8;31,2;0,42;17,6;< 0,5;20,8;296;4,69;< 30;< 0,6;< 0,1;-;< 0,02;< 0,02;< 0,04;-
26259;Salade de chou et carotte ou coleslaw, avec sauce, préemballée;;entrées et plats composés;salades composées et crudités;-;105;80,4;0,94;5,78;4,72;3;8,1;0,63;4,83;2,2;0,66;0,88;39;1,3;9,3;0,27;29;210;21,6;1340;< 0,25;-;14,6;0,026;< 0,01;0,093;-
